id	album	artist	date	rating	DBpedia_URL	label
2.0	Histoire de Melody Nelson	Serge Gainsbourg	24-Mar-09	96.0	http://dbpedia.org/resource/Histoire_de_Melody_Nelson	good
4.0	My Beautiful Dark Twisted Fantasy	Kanye West	22-Nov-10	94.0	http://dbpedia.org/resource/My_Beautiful_Dark_Twisted_Fantasy	good
7.0	Live At Reading	Nirvana	3-Nov-09	93.0	http://dbpedia.org/resource/Live_at_Reading	good
12.0	Labor Days	Aesop Rock	18-Sep-01	92.0	http://dbpedia.org/resource/Labor_Days	good
16.0	A Grand Don't Come For Free	The Streets	18-May-04	91.0	http://dbpedia.org/resource/A_Grand_Don't_Come_for_Free	good
17.0	Speakerboxxx/The Love Below	Outkast	23-Sep-03	91.0	http://dbpedia.org/resource/Speakerboxxx/The_Love_Below	good
18.0	The ArchAndroid	Janelle MonÃƒÂ¡e	18-May-10	91.0	http://dbpedia.org/resource/The_ArchAndroid	good
19.0	The Guitar Song	Jamey Johnson	14-Sep-10	91.0	http://dbpedia.org/resource/The_Guitar_Song	good
24.0	Original Pirate Material	The Streets	22-Oct-02	90.0	http://dbpedia.org/resource/Original_Pirate_Material	good
28.0	XTRMNTR	Primal Scream	2-May-00	90.0	http://dbpedia.org/resource/XTRMNTR	good
29.0	Bachelor No. 2 (or, the last remains of the dodo)	Aimee Mann	2-May-00	89.0	http://dbpedia.org/resource/Bachelor_No._2_or,_the_Last_Remains_of_the_Dodo	good
30.0	Hell Hath No Fury	Clipse	28-Nov-06	89.0	http://dbpedia.org/resource/Hell_Hath_No_Fury	good
41.0	The Greatest Story Never Told	Saigon	15-Feb-11	89.0	http://dbpedia.org/resource/The_Greatest_Story_Never_Told	good
42.0	The Idler Wheel Is Wiser than the Driver of the Screw and Whipping Cords Will Serve You More than Ropes Will Ever Do	Fiona Apple	19-Jun-12	89.0	http://dbpedia.org/resource/The_Idler_Wheel...	good
43.0	Wearemonster	IsolÃƒÂ©e	6-Jun-05	89.0	http://dbpedia.org/resource/We_Are_Monster	good
49.0	The Best Of Blur	Blur	21-Nov-00	88.0	http://dbpedia.org/resource/Blur:_The_Best_Of	good
52.0	Dear Science,	TV on the Radio	23-Sep-08	88.0	http://dbpedia.org/resource/Dear_Science	good
53.0	Destroyer's Rubies	Destroyer	21-Feb-06	88.0	http://dbpedia.org/resource/Destroyer's_Rubies	good
54.0	For Emma, Forever Ago	Bon Iver	19-Feb-08	88.0	http://dbpedia.org/resource/For_Emma,_Forever_Ago	good
58.0	In Rainbows	Radiohead	10-Oct-07	88.0	http://dbpedia.org/resource/In_Rainbows	good
64.0	Return To Cookie Mountain	TV on the Radio	12-Sep-06	88.0	http://dbpedia.org/resource/Return_to_Cookie_Mountain	good
78.0	Dig!!! Lazarus Dig!!!	Nick Cave And The Bad Seeds	8-Apr-08	87.0	http://dbpedia.org/resource/Dig,_Lazarus,_Dig!!!	good
79.0	Favourite Colours	The Sadies	24-Aug-04	87.0	http://dbpedia.org/resource/Favourite_Colours	good
